[1]	Potter MC (1975) Meaning in visual search. Science 187: 965–966. doi: 10.1126/science.1145183. 
[2]	Greene MR, Oliva A (2009) The briefest of glances: the time course of natural scene understanding. Psych Sci 20: 464–472. doi: 10.1111/j.1467-9280.2009.02316.x. 
[3]	Fei-Fei L, VanRullen R, Koch C, Perona P (2002) Rapid natural scene categorization in the near absence of attention. Proc Natl Acad Sci U S A 99: 9596–9601. 
[4]	Thorpe S, Fize D, Marlot C (1996) Speed of processing in the human visual system. Nature 381: 520–522. doi: 10.1038/381520a0. 
[5]	Kirchner H, Thorpe SJ (2006) Ultra-rapid object detection with saccadic eye movements: visual processing speed revisited. Vision Res 46: 1762–1776. doi: 10.1016/j.visres.2005.10.002. 
[6]	VanRullen R, Thorpe S (2001) The time course of visual processing: from early perception to decision-making. J Cogn Neurosci 13: 454–461. doi: 10.1162/08989290152001880. 
[7]	Rousselet GA, Fabre-Thorpe M, Thorpe SJ (2002) Parallel processing in high-level categorization of natural images. Nature Neurosci 5: 629–630. doi: 10.1038/nn866. 
[8]	Peelen MV, Fei-Fei L, Kastner S (2009) Neural mechanisms of rapid natural scene categorization in human visual cortex. Nature 460: 94–97. doi: 10.1038/nature08103. 
[9]	Field DJ (1987) Relations between the statistics of natural images and the response properties of cortical cells. J Opt Soc Am A 4: 2379–2394. doi: 10.1364/JOSAA.4.002379. 
[10]	Vinje WE, Gallant JL (2000) Sparse coding and decorrelation in primary visual cortex during natural vision. Science 287: 1273–1276. doi: 10.1126/science.287.5456.1273. 
[11]	Schwartz O, Simoncelli EP (2001) Natural signal statistics and sensory gain control. Nature Neurosci 4: 819–825. 
[12]	Olshausen BA, Field DJ (1996) Emergence of simple-cell receptive field properties by learning a sparse code for natural images. Nature 381: 607–610. doi: 10.1038/381607a0. 
[13]	Karklin Y, Lewicki MS (2009) Emergence of complex cell properties by learning to generalize in natural scenes. Nature 457: 83–86. doi: 10.1038/nature07481. 
[14]	Frazor RA, Geisler WS (2006) Local luminance and contrast in natural images. Vision Res 46: 1585–1598. doi: 10.1016/j.visres.2005.06.038. 
[15]	Torralba A, Oliva A (2003) Statistics of natural image categories. Network 14: 391–412. doi: 10.1088/0954-898X/14/3/302. 
[16]	Graham N (1979) Does the brain perform a Fourier analysis of the visual scene? Trends Neurosci 2: 207–208. doi: 10.1016/0166-2236(79)90082-1. 
[17]	Scholte HS, Ghebreab S, Waldorp L, Smeulders AWM, Lamme VAF (2009) Brain responses strongly correlate with Weibull image statistics when processing natural images. J Vis 9: 1–15. doi: 10.1167/9.4.29. 
[18]	Ghebreab S, Smeulders AWM, Scholte HS, Lamme VAF (2009) A biologically plausible model for rapid natural image identification. Adv Neural Inf Process Syst 1–9. 
[19]	Oliva A, Torralba A (2006) Building the gist of a scene: the role of global image features in recognition. Prog Brain Res 155: 23–36. 
[20]	van Rijsbergen NJ, Schyns PG (2009) Dynamics of trimming the content of face representations for categorization in the brain. PLoS Comput Biol 5: e1000561. doi: 10.1371/journal.pcbi.1000561. 
[21]	Rousselet GA, Pernet CR (2011) Quantifying the time course of visual object processing using ERPs: It's time to up the game. Front Psych 2: 1–6. doi: 10.3389/fpsyg.2011.00107. 
[22]	Gaspar CM, Rousselet GA, Pernet CR (2011) Reliability of ERP and single-trial analyses. Neuroimage 58: 620–629. doi: 10.1016/j.neuroimage.2011.06.052. 
[23]	Kahn DA, Harris AM, Wolk DA (2010) Temporally distinct neural coding of perceptual similarity and prototype bias. J Vis 10: 1–12. doi: 10.1167/10.10.12. 
[24]	Groen IIA, Ghebreab S, Lamme VAF, Scholte HS (2012) Low-level contrast statistics are diagnostic of invariance of natural textures. Front Comput Neurosci 6: 34. doi: 10.3389/fncom.2012.00034. 
[25]	Kriegeskorte N, Mur M, Bandettini P (2008) Representational similarity analysis - connecting the branches of systems neuroscience. Front Syst Neurosci 2: 4. doi: 10.3389/neuro.06.004.2008. 
[26]	Kravitz DJ, Peng CS, Baker CI (2011) Real-world scene representations in high-level visual cortex: it's the spaces more than the places. J Neurosci 31: 7322–7333. doi: 10.1523/JNEUROSCI.4588-10.2011. 
[27]	Ross MG, Oliva A (2010) Estimating perception of scene layout properties from global image features. J Vis 10: 1–25. doi: 10.1167/10.1.2. 
[28]	Hsiao WH, Millane RP (2005) Effects of occlusion, edges, and scaling on the power spectra of natural images. J Opt Soc Am A 22: 1789–1797. doi: 10.1364/JOSAA.22.001789. 
[29]	Shepard RN (1964) Attention and the metric structure of the stimulus space. J Math Psych 1: 54–87. doi: 10.1016/0022-2496(64)90017-3. 
